Severity;Time;Host;Problem;Urgency;Assignment Group
Average;27.12.20 13:11;Webcam Gang Vorne;HTTP service is down on Webcam Gang Vorne;3 - High;Data Center Services
Average;27.12.20 13:11;Webcam Gartenhaus;HTTP service is down on Webcam Gartenhaus;3 - High;Data Center Services
Average;27.12.20 13:11;Webcam Gang;HTTP service is down on Webcam Gang;3 - High;Data Center Services
Average;27.12.20 13:11;Webcam Terrasse;HTTP service is down on Webcam Terrasse;3 - High;Data Center Services
High;27.12.20 13:11;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:11;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:11;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:11;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;asterisk;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;Webcam Gang Vorne;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;Webcam Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;Webcam Gang;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;Webcam Terrasse;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;GS1900-10HP;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;GS1900-24;Unavailable by ICMP ping;3 - High;Network Services
Warning;26.12.20 14:41;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.12.20 13:41;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;24.12.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;24.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;24.12.20 10:44;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;24.12.20 10:34;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;23.12.20 23:09;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;23.12.20 21:18;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;23.12.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;23.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;22.12.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;22.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;21.12.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;21.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;20.12.20 14:06;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;20.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;19.12.20 14:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;19.12.20 13:44;Google DNS;High ICMP ping loss;3 - High;Network Services
High;19.12.20 13:37;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;19.12.20 13:08;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;19.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;19.12.20 11:08;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;18.12.20 13:41;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;18.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;17.12.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;17.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;16.12.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;16.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;15.12.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;15.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.12.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;13.12.20 14:06;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;13.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;12.12.20 14:06;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;12.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;11.12.20 13:46;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;11.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;10.12.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;10.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;09.12.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;09.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;08.12.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;08.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;07.12.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;07.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;06.12.20 14:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;06.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.12.20 14:31;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.12.20 13:46;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;03.12.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;03.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;03.12.20 04:18;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;03.12.20 04:18;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;02.12.20 18:20;GS1900-10HP;No SNMP data collection;2 - Medium;Network Services
Average;02.12.20 18:17;Zabbix server;Zabbix unreachable poller processes more than 75% busy;2 - Medium;Data Center Services
Average;02.12.20 18:13;asterisk;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;02.12.20 18:13;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;02.12.20 18:11;Webcam Gang Vorne;HTTP service is down on Webcam Gang Vorne;3 - High;Data Center Services
Average;02.12.20 18:11;Webcam Gartenhaus;HTTP service is down on Webcam Gartenhaus;3 - High;Data Center Services
Average;02.12.20 18:11;Webcam Gang;HTTP service is down on Webcam Gang;3 - High;Data Center Services
Average;02.12.20 18:11;Webcam Terrasse;HTTP service is down on Webcam Terrasse;3 - High;Data Center Services
High;02.12.20 18:10;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;GS1900-10HP;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;GS1900-24;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;asterisk;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;Webcam Gang Vorne;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;Webcam Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;Webcam Gang;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;Webcam Terrasse;Unavailable by ICMP ping;3 - High;Network Services
Warning;02.12.20 18:09;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;02.12.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;02.12.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;01.12.20 14:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;30.11.20 15:41;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;30.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;30.11.20 04:45;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;30.11.20 04:45;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;30.11.20 04:45;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;30.11.20 04:45;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;29.11.20 18:21;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;29.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;28.11.20 20:31;GS1900-10HP;Interface GigabitEthernet5(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Average;28.11.20 19:45;Webcam Gang;HTTP service is down on Webcam Gang;3 - High;Data Center Services
Average;28.11.20 19:45;Webcam Terrasse;HTTP service is down on Webcam Terrasse;3 - High;Data Center Services
High;28.11.20 19:44;Webcam Gang;Unavailable by ICMP ping;3 - High;Network Services
High;28.11.20 19:44;Webcam Terrasse;Unavailable by ICMP ping;3 - High;Network Services
High;28.11.20 19:40;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;28.11.20 19:40;GS1900-24;Unavailable by ICMP ping;3 - High;Network Services
Average;28.11.20 19:39;Webcam Gartenhaus;HTTP service is down on Webcam Gartenhaus;3 - High;Data Center Services
High;28.11.20 19:39;Webcam Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
Warning;28.11.20 15:01;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;27.11.20 14:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;27.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;26.11.20 13:36;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;26.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.11.20 13:21;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;24.11.20 23:01;sql-server;/: Disk space is critically low (used > 90%);3 - High;Data Center Services
Warning;24.11.20 16:58;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;24.11.20 13:31;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;24.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;23.11.20 18:34;Webcam Terrasse;HTTP service is down on Webcam Terrasse;3 - High;Data Center Services
Warning;23.11.20 15:26;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;23.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;23.11.20 01:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;22.11.20 17:56;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;22.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;21.11.20 14:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;21.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;20.11.20 13:56;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;20.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;19.11.20 13:21;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;19.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;18.11.20 13:46;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;18.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;17.11.20 13:21;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;17.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;16.11.20 14:40;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;16.11.20 14:40;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;16.11.20 14:40;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;16.11.20 14:40;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;16.11.20 13:21;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;16.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;15.11.20 14:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;15.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.11.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;13.11.20 13:56;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;13.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;12.11.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;12.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;11.11.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;11.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;11.11.20 08:28;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;11.11.20 08:25;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;11.11.20 08:25;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;11.11.20 08:25;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;11.11.20 08:25;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;10.11.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;10.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;09.11.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;09.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;08.11.20 14:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;08.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;07.11.20 20:31;GitLab Contabo;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;07.11.20 20:31;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;07.11.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;07.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;06.11.20 21:14;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
Warning;06.11.20 13:41;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;06.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.11.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.11.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;03.11.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;03.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;02.11.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;02.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;01.11.20 14:06;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;01.11.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;31.10.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;31.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;30.10.20 13:36;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;30.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;29.10.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;29.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;28.10.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;28.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;27.10.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;27.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;26.10.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;26.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.10.20 13:51;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;24.10.20 13:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;24.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;23.10.20 13:41;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;23.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;22.10.20 13:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;22.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;21.10.20 13:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;21.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;20.10.20 13:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;20.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;19.10.20 13:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;19.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;18.10.20 13:51;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;18.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;17.10.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;17.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;16.10.20 13:46;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;16.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;15.10.20 18:05;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;15.10.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;15.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;14.10.20 19:00;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;14.10.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;13.10.20 17:55;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
